code,name_fa,name_en,name_ru,name_local,country,is_border_crossing,trade_role,aliases,code_verified
1345606,Gritsevetz,Gritsevetz,,,Belarusian,,,"Gritsevetz, BEL",false
135708,Grodno,Grodno,,,Belarusian,,,"Grodno, BEL",false
1463606,Grodzyanka,Grodzyanka,,,Belarusian,,,"Grodzyanka, BEL",false
149715,Gryada,Gryada,,,Belarusian,,,"Gryada, BEL",false
16360608,Gudogay,Gudogay,,,Belarusian,,,"Gudogay, BEL",false
1641607,Gudogay (exp.),Gudogay (exp.),,,Belarusian,,,"Gudogay (exp.), BEL",false
163034,Gudogay-styk,Gudogay-styk,,,Belarusian,,,"Gudogay-styk, BEL",false
137781,Gudy,Gudy,,,Belarusian,,,"Gudy, BEL",false
1386009,Gutno,Gutno,,,Belarusian,,,"Gutno, BEL",false
166422,Hlusovo,Hlusovo,,,Belarusian,,,"Hlusovo, BEL",false
139709,Horyn,Horyn,,,Belarusian,,,"Horyn, BEL",false
155771,Iput,Iput,,,Belarusian,,,"Iput, BEL",false
